TC_ID,Module,Title,RICEPOT,Test_Type,Priority,Preconditions,Test_Steps,Test_Data,Expected_Result,PRD_Ref,Severity,Automation_Candidate
TC-024,Targeting,Segment by behavior attribute,I,Functional,High,Experiment in draft,"1. Targeting; 2. Add returning-visitor condition; 3. Save",returning visitor,Targeting rule saved; serving restricted to segment,FR5,High,No
TC-025,Reporting,Real-time dashboard refresh,P,System,High,Running experiment,"1. Open dashboard; 2. Generate conversions; 3. Observe update",live events,Metrics update in near real-time without manual reload,FR6,High,No
TC-026,Reporting,Export report data,O,Functional,Medium,Report available,"1. Open report; 2. Click Export; 3. Choose CSV",export CSV,Report downloaded as CSV with correct metrics,FR6,Medium,No
TC-027,Personalization,Deliver personalized content to segment,I,Functional,High,Personalize campaign set,"1. Create campaign; 2. Target segment; 3. Set content; 4. Activate",geo segment,Matching users see personalized content; others see default,FR7,High,No
TC-028,Integration,Sync goal data to Google Analytics,I,Integration,High,GA integration configured,"1. Enable GA connector; 2. Run experiment; 3. Verify GA dimension",GA sandbox,Experiment data appears as GA custom dimension,FR8,High,No
TC-029,Integration,Mixpanel event forwarding,I,Integration,High,Mixpanel connected,"1. Enable Mixpanel; 2. Trigger goal; 3. Check Mixpanel",Mixpanel sandbox,Goal event forwarded to Mixpanel with correct payload,FR8,High,No
TC-030,Integration,Connector auth failure handling,C,Security,Medium,Connector with invalid key,"1. Configure connector with bad token; 2. Save; 3. Trigger sync",invalid token,Graceful error surfaced; no data leak; sync retried/failed safely,FR8,Medium,No
TC-031,Workflow,Create Kanban experiment backlog card,O,Functional,Medium,Logged in to Plan,"1. Open Plan board; 2. Add idea card; 3. Move to In-Progress",1 card,Card created and moves across Kanban columns,FR9,Medium,Yes
TC-032,Accessibility,Login page WCAG 2.1 AA scan,O,Accessibility,High,On login page,"1. Run axe scan on login; 2. Review violations",axe-core,No critical/serious AA violations; labels and contrast pass,NFR-Security,High,Yes
TC-033,Accessibility,Keyboard-only navigation of dashboard,O,Accessibility,High,Logged in,"1. Tab through dashboard; 2. Activate controls via keyboard",keyboard only,All interactive elements reachable and operable; visible focus,FR6,High,Yes
TC-034,Accessibility,Editor controls have ARIA labels,O,Accessibility,Medium,Visual editor open,"1. Inspect editor toolbar; 2. Verify aria-labels/roles",aria audit,Toolbar controls expose accessible names and roles,FR3,Medium,Yes
TC-035,Regression,Critical-path smoke after release,R,Regression,Critical,New build deployed,"1. Login; 2. Create A/B test; 3. Launch; 4. View report; 5. Logout",full path,All critical-path steps pass; no regression in core flow,FR1;FR6,Critical,Yes
