TC_ID,Module,Title,Priority,Test_Type,RICEPOT,Severity,Step_No,Step_Action,Expected_Result,Actual_Result,Status
TC-031,Workflow,Create Kanban experiment backlog card,Medium,Functional,O,Medium,1,Open Plan board,,,
,,,,,,,2,Add idea card,,,
,,,,,,,3,Move to In-Progress,Card created and moves across Kanban columns,,
TC-032,Accessibility,Login page WCAG 2.1 AA scan,High,Accessibility,O,High,1,Run axe scan on login,,,
,,,,,,,2,Review violations,No critical/serious AA violations; labels and contrast pass,,
TC-033,Accessibility,Keyboard-only navigation of dashboard,High,Accessibility,O,High,1,Tab through dashboard,,,
,,,,,,,2,Activate controls via keyboard,All interactive elements reachable and operable; visible focus,,
TC-034,Accessibility,Editor controls have ARIA labels,Medium,Accessibility,O,Medium,1,Inspect editor toolbar,,,
,,,,,,,2,Verify aria-labels/roles,Toolbar controls expose accessible names and roles,,
TC-035,Regression,Critical-path smoke after release,Critical,Regression,R,Critical,1,Login,,,
,,,,,,,2,Create A/B test,,,
,,,,,,,3,Launch,,,
,,,,,,,4,View report,,,
,,,,,,,5,Logout,All critical-path steps pass; no regression in core flow,,
